taxon;max;min;stg;;;;;;;
Acanthodes_bronni;298,9;290,5;Sakmarian-Asselian;;;;;;;
Acipenser_brevirostrum;0;0;Holocene;;;;;;;
Aesopichthys_erinaceus;326;325;Serpukhovian;;;;;;;
Aetholepis_mirabilis;149,2;143,1;Tithonian;;;;;;;
Amia_calva;0;0;Holocene;;;;;;;
Amphicentrum_granulosum;315,2;307;Moscovian;;;;;;;
Arduafrons_prominoris;149,2;145;Tithonian;;;;;;;
Atractosteus_spatula;0;0;Holocene;;;;;;;
Austelliscus_ferox;394,3;378,9;Eifelian-Givetian;;;;;;;
Australosomus_kochi;251,9;250,5;Induan;;;;;;;
Avonichthys_manskyi;359,3;346,7;Tournaisian;;;;;;;
Beagiascus_pulcherrimus;330,3;323,4;Serpukhovian;;;;;;;
Beishanichthys_brevicaudalis;249,9;246,7;Olenekian;;;;;;;
Birgeria_groenlandica;251,9;250,5;Induan;;;;;;;
Bobosatrania_groenlandica;251,9;250,5;Induan;;;;;;;
Boreosomus_piveteaui;251,9;250,5;Induan;;;;;;;
Brembodus_ridens;214,2;217,5;Norian;;;;;;;
Caturus_furcatus;149,2;145;Tithonian;;;;;;;
Cheirolepis_canadensis;377,2;370,7;Frasnian-Famennian;;;;;;;
Cheirolepis_schultzei;379,7;379,5;Givetian;;;;;;;
Cheirolepis_trailli;394,3;385,3;Eifelian;;;;;;;
Chondrosteus_acipenseroides;199,5;196,4;Sinemurian;;;;;;;
NEW TAXON;367,2;367,9;Famennian;;;;;;;
Cladodoides_wildungensis;371,7;371,2;Frasnian;;;;;;;
Coccocephalichthys_wildi;323,4;315,2;Bashkirian;;;;;;;
Cosmoptychius_striatus;335,5;331,8;Visean;;;;;;;
Cuneognathus_gardineri;360,2;359,3;Famennian;;;;;;;
Cyranorhis_bergeraci;327;323,6;Serpukhovian;;;;;;;
Dandya_ovalis;214,2;217,5;Norian;;;;;;;
Dapedium_ashley;209,5;201,4;Rhaetian;;;;;;;
Dapedium_caelatum;183,1;181,1;Toarcian;;;;;;;
Dapedium_LIAS;199,5;196,4;Sinemurian;;;;;;;
Dapedium_noricum;214,2;217,5;Norian;;;;;;;
Dapedium_pholidotum;184,2;179,9;Toarcian;;;;;;;
Dapedium_punctatum;199,5;196,4;Sinemurian;;;;;;;
Dapedium_stollorum;184,2;179,9;Toarcian;;;;;;;
Dialipina_salguerioensis;410,5;394,3;Emsian;;;;;;; 
Dicksonosteus_arcticus;412,4;410,5;Pragian;;;;;;;
Diplocercides_kayseri;368,3;368,6;Famennian;;;;;;;
Dipteronotus_ornatus;243,3;241,5;Anisian;;;;;;;
Discoserra_pectinodon;326;325;Serpukhovian;;;;;;;
Donnrosenia_schaefferi;385,3;378,9;Givetian;;;;;;;
Dorsetichthys_bechei;199,5;196,4;Sinemurian;;;;;;;
Ebenaqua_ritchei;254,2;251,9;Callovian;;;;;;;
Elops_hawaiensis;0;0;Holocene;;;;;;;
Entelognathus_primordialis;423,8;423,1;Ludfordian;;;;;;;
Eomesodon_liassicus;201,4;199,5;Hettangian;;;;;;;
Erpetoichthys_calabaricus;0;0;Holocene;;;;;;;
Eusthenopteron_foordi;;;Frasnian;;;;;;;
Evenkia_eunoptera;251,9;249,9;Induan;;;;;;;
Fouldenia_ischiptera;351,8;346,7;Tournaisian;;;;;;;
Fukangichthys_longidorsalis;243;237;Anisian-Ladinian;;;;;;;
Gibbodon_cenensis;214,2;217,5;Norian;;;;;;;
Glyptolepis_groenlandica;394,3;385,3;Eifelian;;;;;;;
Gogonasus_andrewsae;377,2;376,6;Frasnian;;;;;;;
Gogosardina_coatesi;377,2;376,6;Frasnian;;;;;;;
Guiyu_oneiros;423,8;423,1;Ludfordian;;;;;;;
Hemicalypterus_weiri;209,5;201,4;Rhaetian;;;;;;;
Heterostrophus_phillipsi;161,5;154,78;Oxfordian-Callovian;;;;;;;
Hiodon_alosoides;0;0;Holocene;;;;;;;
Howqualepis_rostridens;385,3;378,9;Givetian;;;;;;;
Hulettia_americana;165,3;161,5;Bathonian-Callovian;;;;;;;
Ichthyokentema_purbeckensis;183;174;Berriasian;;;;;;;
Kalops_monophyrum;326;325;Serpukhovian;;;;;;;
Kansasiella_eatoni;303,7;298,9;Gzhelian;;;;;;;
Kentuckia_deani;359,7;358,4;Tournaisian-Visean ;;;;;;;
Kentuckia_hlavini;363,4;360,1;Famennian;;;;;;;
Krasnoyarichthys_jesseni;371,1;359,3;Famennian;;;;;;;
Lambeia_pectinata;359,3;346,7;Tournaisian;;;;;;;
Lawrenciella_schaefferi;303,7;298,9;Gzhelian;;;;;;;
Lepisosteus_osseus;0;0;Holocene;;;;;;;
Leptolepis_bronni;183,1;181,2;Toarcian;;;;;;;
Ligulalepis;410,5;405,6;Emsian;;;;;;;
Limnomis_delayni;362,4;362;Famennian;;;;;;;
Luederia_kempi;286;274,4;Artinskian-Kungurian;;;;;;;
Luganoia_lepidosteoides;243,3;241,5;Anisian;;;;;;;
Macrepistius_arenatus;113,2;107,6;Albian;;;;;;;
Macrosemimimus_lennieri;154,8;153,4;Kimmeridgian;;;;;;;
Macrosemius_rostratus;149,2;145;Tithonian;;;;;;;
Meemannia_eos;419;412,4;Lochkovian;;;;;;;
Melanecta_anneae;330,3;327;Serpukhovian;;;;;;;
Mesopoma_planti;323;315;Bashkirian;;;;;;;
Mesturus_sp;165,3;161,5;Callovian;;;;;;;
Mesturus_verrucosus;149,2;145;Tithonian;;;;;;;
Miguashaia_bureaui;377,2;370,7;Frasnian-Famennian;;;;;;;
Mimipiscis_bartrami;377,2;376,6;Frasnian;;;;;;;
Mimipiscis_toombsi;377,2;376,6;Frasnian;;;;;;;
Moythomasia_durgaringa;377,2;376,6;Frasnian;;;;;;;
Moythomasia_lineata;378,9;378,9;Givetian-Frasnian;;;;;;;
Moythomasia_nitida;378,9;378,9;Givetian-Frasnian;;;;;;;
Moythomasia_perforata;377,9;376,6;Frasnian;;;;;;;
Novagonatodus_kasantsevae;359,3;346,7;Tournaisian;;;;;;;
Obaichthys_decoratus;113,2;113,2;Aptian-Albian;;;;;;;
