taxon	max	min
Acipenser_brevirostrum	0	0
Australosomus_kochi	251.9	250.5
Birgeria_groenlandica	251.9	250.5
Cladodoides_wildungensis	371.7	371.2
Dapedium_LIAS	199.5	196.4
Heterostrophus_phillipsi	161.5	154.78
Dicksonosteus_arcticus	412.4	410.5
Fukangichthys_longidorsalis	243	237
Luganoia_lepidosteoides	243.3	241.5
Melanecta_anneae	330.3	327
Mesopoma_planti	323	315
Mimipiscis_toombsi	377.2	376.6
Moythomasia_lineata	378.9	378.9
Obaichthys_decoratus	113.2	113.2
Onychodus_jandemarrai	377.2	376.6
Osorioichthys_marginis	370.1	369.7
Ozarcus_mapesae	335.6	323.4
Psarolepis_romeri	419	412.4
Styracopterus_fulcratus	340	336
Moythomasia_perforata	377.9	376.6
