taxon;age;details;formal_substage_or_regional_stage;species;notes;max;min;midpoint;locality;stratigraphy;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Acanthodes_bronni;Sakmarian-Asselian;;;;;298	9;290	5;294	7;Lebach	 Saar-Nahe basin	 southwestern Germany;Lebach Shales	 Rotliegende;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Acipenser_brevirostrum;Holocene;;;;;0;0;0;n/a;n/a;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Aesopichthys_erinaceus;Serpukhovian;late Serpukhovian;Namurian e2b = lower Arnsbergian;;;326;325;325	5;southwest of Becket	 Fergus County	 Montana	 USA;Bear Gulch Limestone Member	 Heath Formation	 Big Snowy Group;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Aetholepis_mirabilis;Tithonian;;;;;149	2;143	1;146	15;N.S.W.	 Australia;Talbragar fish bed;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Amia_calva;Holocene;;;;;0;0;0;n/a;n/a;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Amphicentrum_granulosum;Moscovian;Bolsovian;;;;315	2;307;311	1;Longton	 Staffordshire	 England;Rowhurst Coal	 Pennine Middle Coal Measures Formation;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Arduafrons_prominoris;Tithonian;lower Tithonian;lower Tithonian;;;149	2;145;147	1;Solnhofen	 Bavaria	 Germany;Lithographic Limestone	 Solnhofen Formation;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Atractosteus_spatula;Holocene;;;;;0;0;0;n/a;n/a;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Austelliscus_ferox;Eifelian-Givetian;;;;;394	3;378	9;386	6;Ponta Grossa	 Paraná	 Brazil ;Ponta Grossa Formation ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Australosomus_kochi;Induan;lower–upper Griesbachian ;;Methophiceras subdemissum	 Ophiceras (Lytophiceras) commune	 Wordieoceras decipiens;;251	9;250	5;251	2;Cape Stosch	 Hold-with-Hope	 Greenland;Pyramiden Member	 Wordie Creek Formation;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Avonichthys_manskyi;Tournaisian;;;;;359	3;346	7;353;Hantsport	 Nova Scotia	 Canada;Blue Beach Member or Hurd Creek Member	 Horton Bluff Formation;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Beagiascus_pulcherrimus;Serpukhovian;late Serpukhovian;;;;330	3;323	4;326	85;southwest of Becket	 Fergus County	 Montana	 USA;Bear Gulch Limestone Member	 Heath Formation	 Big Snowy Group;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Beishanichthys_brevicaudalis;Olenekian;;;;;249	9;246	7;248	3;Quarry 3	 Beishan Hills	 Subei County	 Gansu Province	 northern China ;Hongyanjing Formation ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
