Iteration	Posterior	Likelihood	Prior	alpha_morpho	branch_rates	diversification	extinction_rate	fossil_samp_rate	num_samp_anc	origin_time	rates_morpho[1]	rates_morpho[2]	rates_morpho[3]	rates_morpho[4]	speciation_rate	turnover
0	-29336.49	-27537.05	-1799.437	756344.7	0.2467136	-0.03714226	0.1557785	0.01505733	0	502.247	0.998539	0.999626	1.00037	1.00146	0.1186362	1.313077
10	-24834.69	-23244.71	-1589.975	306815.9	0.06702135	0.00243223	0.05390915	0.04056181	13	501.5334	0.997706	0.999413	1.00059	1.0023	0.05634138	0.9568305
20	-16854.04	-15308.17	-1545.876	186742.9	0.01777164	0.002282962	0.05278368	0.0509376	18	501.1851	0.99706	0.999247	1.00075	1.00294	0.05506664	0.9585418
30	-14316.2	-12770.23	-1545.977	192036.4	0.005272037	0.003363315	0.05299395	0.04870993	18	502.1443	0.997101	0.999258	1.00074	1.0029	0.05635726	0.9403215
40	-13682.82	-12101.75	-1581.069	242957.4	0.004886558	0.004243201	0.05428375	0.03941751	15	501.9661	0.997422	0.99934	1.00066	1.00258	0.05852695	0.9275001
50	-13379.23	-11792.93	-1586.303	677813.2	0.004521748	0.001060382	0.05417565	0.04037702	16	502.1806	0.998456	0.999605	1.00039	1.00154	0.05523603	0.9808027
60	-12996.42	-11398.18	-1598.234	994116.7	0.004370709	0.00322415	0.05169089	0.03925772	14	501.489	0.998725	0.999674	1.00033	1.00128	0.05491504	0.9412884
70	-12802.28	-11194.94	-1607.334	352936	0.004080129	0.002824731	0.05064376	0.04652398	13	500.8962	0.997861	0.999453	1.00055	1.00214	0.05346849	0.9471702
80	-12574.64	-10954.19	-1620.456	400603.4	0.003558976	0.001304472	0.05806759	0.03348972	14	501.5434	0.997992	0.999486	1.00051	1.00201	0.05937206	0.9780289
90	-12434.28	-10785.22	-1649.059	490648.3	0.003509121	0.003177304	0.05242517	0.03048381	12	500.6088	0.998186	0.999536	1.00046	1.00182	0.05560247	0.9428568
100	-12302.8	-10646.67	-1656.131	626940.3	0.003480484	-0.00201958	0.05627093	0.03556189	11	501.1596	0.998395	0.99959	1.00041	1.00161	0.05425135	1.037226
110	-12159.59	-10493.39	-1666.2	957016.1	0.003177647	0.0007256541	0.04012903	0.02846118	9	501.8424	0.998701	0.999668	1.00033	1.0013	0.04085469	0.9822382
120	-12076.97	-10404.94	-1672.04	824617.3	0.003072272	0.00615209	0.03871447	0.03415076	9	501.9132	0.998601	0.999642	1.00036	1.0014	0.04486656	0.8628803
130	-12028.03	-10340.43	-1687.595	821550.3	0.003029065	0.003570709	0.04576812	0.03209854	7	501.9961	0.998598	0.999641	1.00036	1.0014	0.04933883	0.9276288
140	-11890.27	-10199.02	-1691.246	645365.7	0.003081679	0.006832452	0.04157822	0.03911988	7	501.5434	0.998418	0.999595	1.0004	1.00158	0.04841068	0.8588648
150	-11839.44	-10144.41	-1695.021	395151.9	0.003016084	0.005269976	0.04110825	0.03056205	6	500.0924	0.997979	0.999483	1.00052	1.00202	0.04637822	0.8863696
160	-11777.01	-10074.12	-1702.888	910896	0.002970372	0.002958969	0.03908383	0.02567067	6	499.6395	0.998668	0.99966	1.00034	1.00133	0.0420428	0.9296201
170	-11709.31	-10024.2	-1685.111	926469.2	0.00303334	0.008288312	0.04199514	0.02941197	10	498.6628	0.99868	0.999662	1.00034	1.00132	0.05028345	0.8351682
