Iteration	Posterior	Likelihood	Prior	branch_rates	diversification	extinction_rate	fossil_samp_rate	num_samp_anc	origin_time	speciation_rate	turnover
0	-5247.761	-4462.063	-785.6984	0.122009	-0.3420878	0.343652	0.3879773	0	452.2549	0.001564218	219.6957
1000	-2586.885	-2297.623	-289.2614	0.001879944	-0.001587176	0.03250133	0.01053907	2	466.7737	0.03091416	1.051341
2000	-2597.933	-2307.773	-290.1603	0.001812219	7.845531e-05	0.03158105	0.014043	2	477.2817	0.03165951	0.9975219
3000	-2585.82	-2286.086	-299.7339	0.001629646	-0.002666264	0.02530111	0.009716494	1	508.2452	0.02263485	1.117795
4000	-2590.416	-2286.077	-304.3386	0.001421454	-0.005163786	0.03459965	0.007663287	1	505.2932	0.02943587	1.175425
5000	-2587.714	-2290.793	-296.9213	0.001583696	0.0007005756	0.01170171	0.01266579	1	512.3001	0.01240229	0.9435124
6000	-2594.03	-2304.121	-289.9085	0.001910167	-0.001157318	0.03063931	0.008418651	2	493.5899	0.029482	1.039255
7000	-2600.07	-2292.842	-307.2281	0.0015356	-0.002863908	0.01774344	0.01541705	1	508.9296	0.01487953	1.192473
8000	-2590.286	-2295.173	-295.1134	0.001555444	0.005930203	0.02244446	0.00973956	1	515.6156	0.02837467	0.7910036
9000	-2588.862	-2293.814	-295.0473	0.001776555	0.002084218	0.01597123	0.01368042	2	489.1473	0.01805545	0.8845657
10000	-2599.234	-2297.753	-301.4808	0.001838026	0.006407107	0.01822913	0.01164022	1	521.1541	0.02463624	0.7399316
11000	-2593.329	-2291.799	-301.5304	0.00158508	0.003855046	0.02132829	0.01101426	1	493.6478	0.02518334	0.8469207
12000	-2586.904	-2289.23	-297.674	0.001580508	0.006182171	0.01349694	0.01269392	2	521.2551	0.01967911	0.6858511
13000	-2591.75	-2289.531	-302.219	0.001534171	-0.001903664	0.02430386	0.007356066	2	514.1436	0.02240019	1.084984
14000	-2594.326	-2292.921	-301.4055	0.001275612	-0.001368178	0.02170387	0.009376696	2	537.3234	0.0203357	1.06728
15000	-2593.663	-2289.478	-304.1852	0.001544915	-0.003630832	0.02691603	0.00800857	1	522.1734	0.0232852	1.155929
16000	-2590.162	-2287.913	-302.2488	0.001434182	-0.0008193252	0.01974135	0.01164745	1	517.2959	0.01892203	1.0433
17000	-2588.736	-2287.04	-301.696	0.001614467	0.00529917	0.01881991	0.009309662	0	511.4326	0.02411908	0.7802914
18000	-2591.789	-2296.088	-295.7007	0.001733229	-0.006050358	0.03557588	0.01591736	2	509.7894	0.02952552	1.20492
19000	-2599.022	-2301.872	-297.1492	0.001576074	0.008580245	0.02086209	0.008395261	2	506.9533	0.02944233	0.7085746
20000	-2589.381	-2298.799	-290.5824	0.001788685	-0.002157035	0.02828448	0.01134415	1	504.3689	0.02612745	1.082558
21000	-2591.711	-2292.1	-299.6111	0.00149768	0.006562933	0.02694714	0.01039166	2	494.6623	0.03351008	0.8041505
22000	-2583.663	-2293.276	-290.3869	0.001621786	-0.003624742	0.01957792	0.01105655	3	493.5839	0.01595317	1.227211
23000	-2585.586	-2292.938	-292.6482	0.001666312	-0.00407348	0.01559893	0.01315918	3	526.5427	0.01152545	1.353434
24000	-2581.034	-2294.631	-286.4031	0.00147547	0.004319513	0.01493153	0.01544317	3	511.0389	0.01925104	0.7756218
25000	-2589.355	-2300.522	-288.8321	0.002033844	-0.003491174	0.02947741	0.01063474	2	506.7993	0.02598623	1.134347
26000	-2586.132	-2295.77	-290.3616	0.001555833	0.003692372	0.01565329	0.01242557	3	512.2971	0.01934566	0.8091369
