Iteration	Posterior	Likelihood	Prior	alpha_morpho	branch_rates	diversification	extinction_rate	fossil_samp_rate	num_samp_anc	origin_time	rates_morpho[1]	rates_morpho[2]	rates_morpho[3]	rates_morpho[4]	rates_morpho[5]	rates_morpho[6]	speciation_rate	turnover
0	-5064.381	-4500.258	-564.1233	966754	0.2837209	-0.1589335	0.3003646	0.163987	0	510.3425	0.998476	0.999306	0.999784	1.00022	1.00069	1.00153	0.1414311	2.123752
1000	-2605.243	-2289.069	-316.1746	109172.1	0.001456096	-8.147461e-05	0.01692842	0.01292226	1	529.0316	0.995467	0.997933	0.999355	1.00064	1.00206	1.00454	0.01684694	1.004836
2000	-2603.338	-2290.582	-312.756	934657.3	0.001654416	0.004785436	0.0249713	0.009152884	1	516.6143	0.99845	0.999294	0.99978	1.00022	1.00071	1.00155	0.02975673	0.8391814
3000	-2621.592	-2304.597	-316.9952	590217.6	0.001447838	0.004236307	0.02194298	0.009489865	1	514.7063	0.99805	0.999111	0.999723	1.00028	1.00089	1.00195	0.02617928	0.838181
4000	-2610.818	-2299.499	-311.3189	9157.454	0.00169597	4.014688e-05	0.02337947	0.008702203	2	514.6076	0.984387	0.99285	0.99775	1.00218	1.00711	1.01572	0.02341961	0.9982858
5000	-2608.006	-2292.682	-315.3247	732029.1	0.001483948	0.0005357284	0.02247622	0.01107437	1	504.4712	0.998249	0.999202	0.999752	1.00025	1.0008	1.00175	0.02301195	0.9767196
6000	-2599.339	-2291.573	-307.7653	933945.1	0.001570058	-0.00162288	0.01950429	0.01245648	2	526.4612	0.998449	0.999294	0.99978	1.00022	1.00071	1.00155	0.01788141	1.090758
7000	-2597.079	-2289.765	-307.3145	404190.9	0.001514965	0.003408151	0.01989374	0.01215668	2	483.9651	0.997643	0.998926	0.999666	1.00033	1.00107	1.00236	0.02330189	0.8537393
8000	-2595.411	-2291.19	-304.2213	630565	0.001484968	0.002792468	0.01908261	0.01014324	2	504.5762	0.998113	0.99914	0.999732	1.00027	1.00086	1.00189	0.02187508	0.8723448
9000	-2605.52	-2296.805	-308.716	941985.3	0.00154029	0.001392268	0.03139894	0.01143653	2	519.3445	0.998456	0.999297	0.999781	1.00022	1.0007	1.00155	0.03279121	0.9575414
10000	-2597.97	-2295.544	-302.4261	164431.2	0.001710969	0.004511745	0.02345541	0.01523333	2	492.7591	0.996306	0.998316	0.999475	1.00052	1.00168	1.0037	0.02796716	0.838677
11000	-2611.053	-2298.132	-312.9211	137005.5	0.001559194	-0.004220359	0.01906261	0.01019234	1	495.2144	0.995953	0.998155	0.999425	1.00057	1.00184	1.00405	0.01484225	1.284348
12000	-2600.333	-2291.714	-308.6195	568552.5	0.001757859	-0.002557039	0.02303135	0.01207927	2	519.9828	0.998013	0.999095	0.999718	1.00028	1.0009	1.00199	0.02047431	1.12489
13000	-2609.225	-2299.583	-309.6417	834549.7	0.001753077	-0.003442871	0.02809698	0.007639592	2	517.7203	0.99836	0.999253	0.999768	1.00023	1.00075	1.00164	0.02465411	1.139647
14000	-2600.867	-2294.684	-306.1827	650999	0.001628292	0.001827376	0.01714588	0.01561146	2	536.6843	0.998143	0.999154	0.999737	1.00026	1.00085	1.00186	0.01897326	0.9036867
15000	-2614.975	-2296.733	-318.242	928719.1	0.001729527	-0.01110236	0.03550048	0.01263736	1	489.7212	0.998445	0.999292	0.99978	1.00022	1.00071	1.00156	0.02439812	1.45505
16000	-2605.39	-2295.707	-309.6825	892685	0.001563276	0.004980206	0.02538254	0.01251669	1	518.1134	0.998414	0.999277	0.999775	1.00022	1.00072	1.00159	0.03036275	0.8359764
17000	-2604.171	-2288.943	-315.2281	651639.4	0.001479067	0.002234646	0.01976441	0.007997041	1	515.637	0.998144	0.999154	0.999737	1.00026	1.00085	1.00186	0.02199905	0.8984208
18000	-2598.816	-2294.339	-304.4768	449912.8	0.00190308	0.001943867	0.01968659	0.02079543	3	496.9052	0.997766	0.998982	0.999683	1.00032	1.00102	1.00224	0.02163046	0.9101329
19000	-2609.388	-2294.996	-314.3919	772700.3	0.00139565	-0.0007380871	0.02080716	0.009979752	1	508.8062	0.998295	0.999223	0.999758	1.00024	1.00078	1.00171	0.02006907	1.036777
20000	-2605.221	-2296.493	-308.7277	780021.6	0.001672399	0.003509536	0.01409662	0.01193704	2	501.0032	0.998303	0.999227	0.999759	1.00024	1.00077	1.0017	0.01760615	0.8006642
21000	-2601.194	-2285.252	-315.9426	787727.8	0.001530636	-0.000267397	0.02082347	0.009764957	1	502.7981	0.998312	0.999231	0.999761	1.00024	1.00077	1.00169	0.02055607	1.013008
22000	-2599.928	-2288.259	-311.6691	908796.6	0.00152011	-0.0009604065	0.02371961	0.0123178	2	497.605	0.998428	0.999284	0.999777	1.00022	1.00072	1.00157	0.0227592	1.042199
23000	-2612.473	-2297.952	-314.5209	255261.2	0.001684956	0.002049844	0.01623249	0.01825921	1	509.492	0.997035	0.998648	0.999579	1.00042	1.00135	1.00297	0.01828233	0.8878784
24000	-2600.27	-2288.362	-311.9083	760596.3	0.001441842	0.007141719	0.01392387	0.01222309	1	517.9931	0.998282	0.999217	0.999756	1.00024	1.00078	1.00172	0.02106559	0.660977
25000	-2609.277	-2288.129	-321.1471	258456.8	0.001312181	-0.001784927	0.02444884	0.005241288	2	524.5712	0.997053	0.998657	0.999582	1.00042	1.00134	1.00295	0.02266392	1.078756
26000	-2613.322	-2294.597	-318.7255	151677	0.00143495	-0.0002787051	0.01159293	0.0177517	2	529.0374	0.996154	0.998246	0.999453	1.00054	1.00175	1.00385	0.01131422	1.024633
