Iteration	Posterior	Likelihood	Prior	alpha_morpho	branch_rates	diversification	extinction_rate	fossil_samp_rate	num_samp_anc	origin_time	rates_morpho[1]	rates_morpho[2]	rates_morpho[3]	rates_morpho[4]	speciation_rate	turnover
0	-31773.29	-26130.43	-5642.856	981145.5	0.02896512	0.08555388	0.08201942	0.09489526	0	482.4832	0.998717	0.999672	1.00033	1.00128	0.1675733	0.489454
10	-18649.52	-16588.85	-2060.671	476811.3	0.003615472	0.001171723	0.01966396	0.01509664	15	482.4863	0.99816	0.999529	1.00047	1.00184	0.02083568	0.9437636
20	-16663.27	-14636.03	-2027.239	345196.3	0.001573721	0.001291364	0.01335531	0.00712753	10	482.0309	0.997837	0.999447	1.00055	1.00216	0.01464667	0.9118323
30	-15868.54	-13847.28	-2021.265	500424	0.001496695	0.001711993	0.01235134	0.008741058	9	482.8816	0.998204	0.99954	1.00046	1.0018	0.01406333	0.8782655
40	-15407.9	-13373.98	-2033.919	386926	0.001445554	0.001369736	0.0149111	0.007351976	5	482.5771	0.997957	0.999477	1.00052	1.00204	0.01628083	0.9158682
50	-14975.42	-12943.4	-2032.018	675600.2	0.001330379	0.001392405	0.01590961	0.008178704	4	482.2468	0.998454	0.999605	1.00039	1.00155	0.01730201	0.9195235
60	-14484.28	-12463.98	-2020.301	365644.7	0.001288261	0.002830782	0.01642125	0.008870011	5	482.8068	0.997899	0.999462	1.00054	1.0021	0.01925203	0.8529619
70	-13979.09	-11968.56	-2010.531	643567.6	0.001251218	0.001436208	0.01485885	0.009511031	6	482.9018	0.998416	0.999595	1.0004	1.00158	0.01629506	0.9118624
80	-13770.91	-11767.59	-2003.318	825733.3	0.001218726	0.0005787895	0.01402965	0.009619915	7	483.2989	0.998602	0.999642	1.00036	1.0014	0.01460844	0.9603798
90	-13448.38	-11452.25	-1996.128	634783.2	0.001228685	-0.0004946368	0.01562485	0.009682876	6	482.5806	0.998405	0.999592	1.00041	1.0016	0.01513022	1.032692
100	-13127.25	-11140.41	-1986.844	405794.7	0.00119779	0.002090367	0.01627192	0.01038163	6	483.0355	0.998005	0.99949	1.00051	1.002	0.01836228	0.8861598
110	-12942.92	-10970.81	-1972.107	950138.6	0.001188978	0.0007538711	0.0206579	0.008422563	7	482.7558	0.998696	0.999667	1.00033	1.0013	0.02141177	0.9647917
120	-12833.87	-10859.36	-1974.507	865468.7	0.001151719	0.00205223	0.01868715	0.009425955	6	483.1548	0.998634	0.999651	1.00035	1.00137	0.02073938	0.9010467
130	-12762.98	-10810.96	-1952.015	820073.7	0.001204389	0.0006612291	0.01834482	0.01017462	10	483.5323	0.998597	0.999641	1.00036	1.0014	0.01900604	0.9652095
140	-12702.79	-10754.26	-1948.534	556653.7	0.001195717	0.002092304	0.01706923	0.01021065	10	484.2436	0.998297	0.999564	1.00043	1.0017	0.01916153	0.8908071
150	-12687.06	-10730.01	-1957.055	663617.4	0.001220014	0.004094327	0.01430718	0.01057875	8	485.5228	0.99844	0.999601	1.0004	1.00156	0.01840151	0.7775005
160	-12663.35	-10714.22	-1949.123	464250.2	0.001188803	0.0002844834	0.02005945	0.009268514	8	485.7904	0.998135	0.999523	1.00048	1.00187	0.02034393	0.9860163
170	-12605.01	-10648.67	-1956.342	581827.5	0.00118062	0.0008355169	0.01925027	0.009565211	7	487.2539	0.998334	0.999574	1.00043	1.00167	0.02008579	0.9584026
180	-12494.34	-10532.63	-1961.707	680886	0.001197894	-0.001012868	0.02330823	0.01037139	7	488.0337	0.99846	0.999606	1.00039	1.00154	0.02229536	1.04543
190	-12444.63	-10477.87	-1966.755	877237.8	0.001082154	0.001805104	0.0192904	0.009484311	6	488.8297	0.998643	0.999653	1.00035	1.00136	0.0210955	0.9144318
200	-12416.34	-10447.2	-1969.142	819242.1	0.00113718	0.00166802	0.01760661	0.0111245	5	488.9794	0.998596	0.999641	1.00036	1.0014	0.01927463	0.9134604
210	-12321	-10353.02	-1967.976	381011.7	0.001093316	0.002330822	0.01572291	0.01005346	5	489.5464	0.997941	0.999473	1.00053	1.00206	0.01805373	0.8708953
220	-12247.98	-10294.6	-1953.38	655896.8	0.001127855	0.001173518	0.01842029	0.01173929	7	490.192	0.998431	0.999599	1.0004	1.00157	0.01959381	0.9401077
230	-12122.58	-10174.25	-1948.331	626825.4	0.001149355	-9.297926e-05	0.01825383	0.009634198	7	490.4585	0.998395	0.999589	1.00041	1.00161	0.01816085	1.00512
240	-12073.18	-10123.87	-1949.312	542118.5	0.001100559	0.002743536	0.0222229	0.009475991	6	491.4972	0.998274	0.999559	1.00044	1.00173	0.02496643	0.890111
250	-12023.96	-10075.14	-1948.829	859366.9	0.001148656	0.00155267	0.01934676	0.01025746	5	492.2529	0.998629	0.999649	1.00035	1.00137	0.02089943	0.9257075
260	-11977.97	-10026.36	-1951.609	543885.5	0.001097328	0.004338842	0.02172541	0.00964507	5	492.4106	0.998277	0.999559	1.00044	1.00172	0.02606425	0.8335328
270	-11930.3	-9985.45	-1944.852	988319.4	0.001127255	0.0005317111	0.02339907	0.008909334	5	493.3425	0.998722	0.999673	1.00033	1.00128	0.02393078	0.9777813
