"taxon";"max";"min"
"Birgeria_groenlandica";251,9;250,5
"Fukangichthys_longidorsalis";243;237
"Melanecta_anneae";330,3;327
"Moythomasia_perforata";377,9;376,6
"Obaichthys_decoratus";113,2;113,2
"Cladodoides_wildungensis";371,7;371,2
"Heterostrophus_phillipsi";161,5;154,78
"Onychodus_jandemarrai";377,2;376,6
"Luganoia_lepidosteoides";243,3;241,5
"Ozarcus_mapesae";335,6;323,4
"Moythomasia_lineata";378,9;378,9
"Acipenser_brevirostrum";0;0
"Mimipiscis_toombsi";377,2;376,6
"Styracopterus_fulcratus";340;336
"Dicksonosteus_arcticus";412,4;410,5
"Psarolepis_romeri";419;412,4
"Osorioichthys_marginis";370,1;369,7
"Australosomus_kochi";251,9;250,5
"Mesopoma_planti";323;315
"Dapedium_LIAS";199,5;196,4
